,web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link,YouTube_Link-href,TwitterHandle,TwitterHandle-href,InstagramHandle,InstagramHandle-href,MonthlyEarnings,YearlyEarnings
0,1553043067-5148,https://socialblade.com/youtube/top/5000/mostsubscribed,PewDiePie,https://socialblade.com/youtube/c/pewdiepie,PewDiePie,3779,90210848,20772365682,US,Entertainment,"Apr 29th, 2010",A,,https://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,,https://twitter.com/pewdiepie,,https://instagram.com/pewdiepie,€66.9K - €1.1M,€802.3K - €12.8M
1,1553043063-5147,https://socialblade.com/youtube/top/5000/mostsubscribed,T-Series,https://socialblade.com/youtube/c/tseriesmusic,T-Series,13218,90194329,65092058996,IN,Music,"Mar 13th, 2006",A++,,https://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,,https://instagram.com/tseries.official,,https://plus.google.com/115156822320080163368,€635.6K - €10.2M,€7.6M - €122M
2,1553043059-5146,https://socialblade.com/youtube/top/5000/mostsubscribed,Gaming,https://socialblade.com/youtube/channel/UCOpNcN46UbXVtpKMrmU4Abg,Gaming,0,81888222,0,,Games,"Dec 15th, 2013",D-,,https://youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg,,,,https://youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg,€0 - €0,€0 - €0
3,1553043055-5145,https://socialblade.com/youtube/top/5000/mostsubscribed,YouTube Movies,https://socialblade.com/youtube/channel/UClgRkhTL3_hImCAmdLfDE4g,YouTube Movies,0,77413743,0,,Film,"Jun 10th, 2015",D-,,https://youtube.com/channel/UClgRkhTL3_hImCAmdLfDE4g,,,,https://youtube.com/channel/UClgRkhTL3_hImCAmdLfDE4g,€0 - €0,€0 - €0
4,1553043051-5144,https://socialblade.com/youtube/top/5000/mostsubscribed,Sports,https://socialblade.com/youtube/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,Sports,0,75622870,0,,Sports,"Dec 15th, 2013",D-,,https://youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,,,,https://youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,€0 - €0,€0 - €0
5,1553043047-5143,https://socialblade.com/youtube/top/5000/mostsubscribed,5-Minute Crafts,https://socialblade.com/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,2850,52039165,12853732711,US,Howto,"Nov 15th, 2016",A+,,https://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,,https://www.facebook.com/5min.crafts/,,https://instagram.com/5.min.crafts/,€124.5K - €2M,€1.5M - €23.9M
6,1553043043-5142,https://socialblade.com/youtube/top/5000/mostsubscribed,Canal KondZilla,https://socialblade.com/youtube/c/kondzilla,Canal KondZilla,995,47785398,23658901687,BR,Music,"Mar 21st, 2012",A+,,https://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,,https://instagram.com/kondzilla,,https://plus.google.com/110909183257361061369,€120.4K - €1.9M,€1.4M - €23.1M
7,1553043039-5141,https://socialblade.com/youtube/top/5000/mostsubscribed,SET India,https://socialblade.com/youtube/c/set-india,SET India,29688,43974122,30601562478,IN,Entertainment,"Sep 20th, 2006",A++,,https://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,,https://twitter.com/sonyliv,,https://plus.google.com/109225915636771502428,€318.3K - €5.1M,€3.8M - €61.1M
8,1553043035-5140,https://socialblade.com/youtube/top/5000/mostsubscribed,Justin Bieber,https://socialblade.com/youtube/c/justinbieber,Justin Bieber,132,43878072,603895308,CA,Entertainment,"Jan 15th, 2007",B,,https://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,,https://instagram.com/justinbieber,,https://plus.google.com/114501909900126662096,€319 - €5.1K,€3.8K - €61.3K
9,1553043027-5138,https://socialblade.com/youtube/top/5000/mostsubscribed,Cocomelon - Nursery Rhymes,https://socialblade.com/youtube/c/cocomelon,Cocomelon - Nursery Rhymes,408,40551419,22962398422,US,Education,"Sep 1st, 2006",A++,,https://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,,https://twitter.com/abckidtv,,https://plus.google.com/117230391529580926061,€567.6K - €9.1M,€6.8M - €109M
10,1553043023-5137,https://socialblade.com/youtube/top/5000/mostsubscribed,Dude Perfect,https://socialblade.com/youtube/c/dudeperfect,Dude Perfect,201,40202277,7453264532,US,Sports,"Mar 17th, 2009",A,,https://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,,https://instagram.com/dudeperfect,,https://plus.google.com/112148941071912883669,€46.5K - €743.3K,€557.5K - €8.9M
11,1553043019-5136,https://socialblade.com/youtube/top/5000/mostsubscribed,HolaSoyGerman.,https://socialblade.com/youtube/c/holasoygermna,HolaSoyGerman.,137,38503519,3842065134,CL,Entertainment,"Sep 8th, 2011",B+,,https://youtube.com/channel/UCZJ7m7EnCNodqnu5SAtg8eQ,,https://www.twitter.com/germangarmendia,,https://instagram.com/germanchelo,€7.2K - €114.6K,€85.9K - €1.4M
12,1553043015-5135,https://socialblade.com/youtube/top/5000/mostsubscribed,Ed Sheeran,https://socialblade.com/youtube/c/ed-sheeran,Ed Sheeran,123,37683352,16255758481,GB,Music,"Aug 8th, 2006",A,,https://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,,https://instagram.com/teddysphotos/,,https://plus.google.com/111802951085850161475,€50.4K - €807.2K,€605.4K - €9.7M
13,1553043011-5134,https://socialblade.com/youtube/top/5000/mostsubscribed,Badabun,https://socialblade.com/youtube/c/badabunoficial,Badabun,3866,37292948,10836102246,MX,Entertainment,"Oct 14th, 2014",A+,,https://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ,,https://instagram.com/badabunoficial,,https://plus.google.com/117613648034542920927,€164.9K - €2.6M,€2M - €31.7M
14,1553043003-5132,https://socialblade.com/youtube/top/5000/mostsubscribed,whinderssonnunes,"https://socialblade.com/youtube/c/whindersson,",whinderssonnunes,362,35123697,2858803818,BR,Comedy,"Jan 21st, 2013",B+,,https://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw,,https://instagram.com/whinderssonnunes,,https://plus.google.com/118037679052681868640,€9.5K - €152.4K,€114.3K - €1.8M
15,1553042995-5130,https://socialblade.com/youtube/top/5000/mostsubscribed,Ariana Grande`,https://socialblade.com/youtube/c/ariana-grande,Ariana Grande`,127,34044586,763302033,US,Music,"Jan 22nd, 2007",B+,,https://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,,https://instagram.com/arianagrande,,https://plus.google.com/116118968717588622051,€6.4K - €102.6K,€76.9K - €1.2M
16,1553042991-5129,https://socialblade.com/youtube/top/5000/mostsubscribed,News,https://socialblade.com/youtube/channel/UCYfdidRxbB8Qhf0Nx7ioOYw,News,0,33992470,0,,,"Sep 9th, 2013",D-,,https://youtube.com/channel/UCYfdidRxbB8Qhf0Nx7ioOYw,,,,https://youtube.com/channel/UCYfdidRxbB8Qhf0Nx7ioOYw,€0 - €0,€0 - €0
17,1553042983-5127,https://socialblade.com/youtube/top/5000/mostsubscribed,JustinBieberVEVO,https://socialblade.com/youtube/c/justinbiebervebo,JustinBieberVEVO,122,33770169,18512334420,US,Music,"Sep 26th, 2009",A,,https://youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A,,https://www.facebook.com/justinbieber,,https://twitter.com/justinbieber,€21.4K - €342.7K,€257K - €4.1M
18,1553042979-5126,https://socialblade.com/youtube/top/5000/mostsubscribed,Zee Music Company,https://socialblade.com/youtube/user/zeemusiccompany,Zee Music Company,3998,33090848,15546938399,IN,Music,"Mar 12th, 2014",A+,,https://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,,https://www.instagram.com/zeemusiccompany,,https://plus.google.com/115507384553694376602,€142.5K - €2.3M,€1.7M - €27.4M
19,1553042975-5125,https://socialblade.com/youtube/top/5000/mostsubscribed,Katy Perry,https://socialblade.com/youtube/c/katyperry.,Katy Perry,95,32641073,358024945,US,Entertainment,"Jun 1st, 2008",B-,,https://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,,https://www.instagram.com/katyperry,,https://plus.google.com/114387601150715589092,€114 - €1.8K,€1.4K - €21.8K
20,1553042967-5123,https://socialblade.com/youtube/top/5000/mostsubscribed,Fernanfloo,https://socialblade.com/youtube/user/fernanfloo,Fernanfloo,534,32393658,6867760534,SV,Games,"May 2nd, 2011",A,,https://youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ,,https://www.instagram.com/fernanfloo,,https://plus.google.com/104896509432800359706,€17.4K - €278.7K,€209K - €3.3M
21,1553042963-5122,https://socialblade.com/youtube/top/5000/mostsubscribed,Rihanna,https://socialblade.com/youtube/c/rihanna~,Rihanna,76,31492974,60476288,BB,Entertainment,"Nov 6th, 2005",B-,,https://youtube.com/channel/UCcgqSM4YEo5vVQpqwN-MaNw,,https://twitter.com/rihanna,,https://plus.google.com/100287066243243166557,€84 - €1.3K,€1K - €16K
22,1553042959-5121,https://socialblade.com/youtube/top/5000/mostsubscribed,Marshmello,https://socialblade.com/youtube/c/marshmello-music,Marshmello,270,31451636,5276196776,US,Music,"Apr 6th, 2015",A,,https://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,,https://instagram.com/marshmellomusic,,https://plus.google.com/105276231228085235607,€86.1K - €1.4M,€1M - €16.5M
23,1553042951-5119,https://socialblade.com/youtube/top/5000/mostsubscribed,Felipe Neto,https://socialblade.com/youtube/c/felipenetodeverdade,Felipe Neto,1646,31355944,6316964355,BR,Entertainment,"May 16th, 2006",A,,https://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg,,https://www.instagram.com/felipenetoreal,,https://plus.google.com/117523448732897587002,€61.1K - €977.4K,€733.1K - €11.7M
24,1553042955-5120,https://socialblade.com/youtube/top/5000/mostsubscribed,TheEllenShow,https://socialblade.com/youtube/c/ellen,TheEllenShow,10029,31338665,15227530790,US,Entertainment,"Nov 21st, 2006",A,,https://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ,,https://instagram.com/theellenshow,,https://plus.google.com/113689144410560404035,€56.5K - €904.7K,€678.5K - €10.9M
25,1553042947-5118,https://socialblade.com/youtube/top/5000/mostsubscribed,Popular on YouTube,https://socialblade.com/youtube/channel/UCF0pVplsI8R5kcAqgtoRqoA,Popular on YouTube,0,29803590,0,,Games,"Dec 4th, 2013",D-,,https://youtube.com/channel/UCF0pVplsI8R5kcAqgtoRqoA,,,,https://youtube.com/channel/UCF0pVplsI8R5kcAqgtoRqoA,€0 - €0,€0 - €0
26,1553042939-5116,https://socialblade.com/youtube/top/5000/mostsubscribed,YouTube,https://socialblade.com/youtube/c/spotlight,YouTube,288,28009035,1845149750,US,News,--,B,,https://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,,https://www.facebook.com/youtube,,https://twitter.com/youtube,€1.2K - €18.6K,€13.9K - €222.8K
27,1553042935-5115,https://socialblade.com/youtube/top/5000/mostsubscribed,TaylorSwiftVEVO,https://socialblade.com/youtube/user/taylorswiftvevo,TaylorSwiftVEVO,82,27679085,16330049371,US,Music,"May 12th, 2009",A,,https://youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg,,https://twitter.com/taylorswift13,,https://plus.google.com/107957362367938812652,€26K - €416K,€312K - €5M
28,1553042931-5114,https://socialblade.com/youtube/top/5000/mostsubscribed,EminemVEVO,https://socialblade.com/youtube/c/em%c4%b0nemvevo,EminemVEVO,84,26338163,12803106901,US,Music,"May 12th, 2009",A,,https://youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ,,https://www.facebook.com/eminem,,https://twitter.com/eminem,€39.7K - €634.9K,€476.2K - €7.6M
29,1553042927-5113,https://socialblade.com/youtube/top/5000/mostsubscribed,KatyPerryVEVO,https://socialblade.com/youtube/user/katyperryvevo,KatyPerryVEVO,126,26319021,17127297666,US,Music,"Dec 13th, 2009",A,,https://youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw,,https://twitter.com/katyperry,,https://instagram.com/katyperry,€35.8K - €572.8K,€429.6K - €6.9M
30,1553042923-5112,https://socialblade.com/youtube/top/5000/mostsubscribed,RihannaVEVO,https://socialblade.com/youtube/user/rihannavevo,RihannaVEVO,106,26296627,13769077694,US,Music,"May 12th, 2009",A,,https://youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A,,https://instagram.com/badgalriri,,https://plus.google.com/109295198983519884974,€23.9K - €381.7K,€286.3K - €4.6M
31,1553042919-5111,https://socialblade.com/youtube/top/5000/mostsubscribed,VEGETTA777,https://socialblade.com/youtube/user/vegetta777,VEGETTA777,5102,26160012,10173166025,ES,Games,"Mar 2nd, 2008",A,,https://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,,https://instagram.com/vegetta777,,https://plus.google.com/113290693151563606987,€26.3K - €421.3K,€316K - €5.1M
32,1553042915-5110,https://socialblade.com/youtube/top/5000/mostsubscribed,Trap Nation,https://socialblade.com/youtube/c/-trapnation,Trap Nation,1615,25617837,8927735808,US,Music,"Sep 23rd, 2012",A,,https://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,,https://twitter.com/alltrapnation,,https://instagram.com/trapnation,€39.3K - €628.6K,€471.5K - €7.5M
33,1553042911-5109,https://socialblade.com/youtube/top/5000/mostsubscribed,Zee TV,https://socialblade.com/youtube/user/zeetv,Zee TV,62179,25451192,18159686947,IN,Entertainment,"Dec 11th, 2005",A++,,https://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ,,https://twitter.com/zeetv,,https://plus.google.com/100644914655705003858,€245.2K - €3.9M,€2.9M - €47.1M
34,1553042899-5106,https://socialblade.com/youtube/top/5000/mostsubscribed,Maroon 5,https://socialblade.com/youtube/user/maroon5,Maroon 5,153,24795239,225292873,US,Music,"Mar 9th, 2006",B-,,https://youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,,https://instagram.com/maroon5,,https://plus.google.com/117847342159797422237,€127 - €2K,€1.5K - €24.4K
35,1553042895-5105,https://socialblade.com/youtube/top/5000/mostsubscribed,Luis Fonsi,https://socialblade.com/youtube/user/luisfonsivivo,Luis Fonsi,73,24598214,16299923,US,Entertainment,"Feb 25th, 2014",B-,,https://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA,,https://twitter.com/luisfonsi,,https://plus.google.com/106423936886630534386,€41 - €658,€494 - €7.9K
36,1553042891-5104,https://socialblade.com/youtube/top/5000/mostsubscribed,BRIGHT SIDE,https://socialblade.com/youtube/channel/UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,2291,24547659,4413453709,,Howto,"Mar 15th, 2017",A,,https://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,,https://www.facebook.com/brightside/,,https://www.instagram.com/brightgram/,€40.3K - €644.5K,€483.4K - €7.7M
37,1553042887-5103,https://socialblade.com/youtube/top/5000/mostsubscribed,VanossGaming,https://socialblade.com/youtube/user/vanossgaming,VanossGaming,959,24323495,10656216668,CA,Games,"Sep 15th, 2011",A,,https://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,,https://twitter.com/#!/vanossgaming,,https://instagram.com/vanossinstagram,€25.3K - €404.9K,€303.7K - €4.9M
38,1553042884-5102,https://socialblade.com/youtube/top/5000/mostsubscribed,Bruno Mars,https://socialblade.com/youtube/c/brunomars,Bruno Mars,67,24296338,10426428760,US,Music,"Sep 19th, 2006",A,,https://youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA,,https://twitter.com/brunomars,,https://plus.google.com/102768633888748597392,€27.8K - €445.1K,€333.8K - €5.3M
39,1553042879-5101,https://socialblade.com/youtube/top/5000/mostsubscribed,Smosh,https://socialblade.com/youtube/c/smosh,Smosh,1039,24168806,8253579897,US,Comedy,"Nov 19th, 2005",A,,https://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,,https://instagram.com/smosh,,https://plus.google.com/107658787431067089650,€17.7K - €282.6K,€212K - €3.4M
40,1553042875-5100,https://socialblade.com/youtube/top/5000/mostsubscribed,Sony Music India,https://socialblade.com/youtube/c/sonymusicindia,Sony Music India,2414,24026890,9396840796,IN,Music,"Sep 2nd, 2009",A,,https://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,,https://twitter.com/sonymusicindia,,https://plus.google.com/101642448418834296289,€64.5K - €1M,€774.3K - €12.4M
41,1553042871-5099,https://socialblade.com/youtube/top/5000/mostsubscribed,Movieclips,https://socialblade.com/youtube/c/movieclipsvideos,Movieclips,31912,23912506,21548229627,US,Film,"Apr 28th, 2006",A+,,https://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,,https://instagram.com/movieclips,,https://plus.google.com/110315793794015517463,€173.4K - €2.8M,€2.1M - €33.3M
42,1553042863-5097,https://socialblade.com/youtube/top/5000/mostsubscribed,Yuya,https://socialblade.com/youtube/user/lady16makeup,Yuya,592,23501019,2376565163,MX,Howto,"Sep 20th, 2009",B,,https://youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,,https://instagram.com/yuyacst,,https://plus.google.com/108441997890014229083,€1.9K - €29.7K,€22.3K - €356.3K
43,1553042851-5094,https://socialblade.com/youtube/top/5000/mostsubscribed,OneDirectionVEVO,https://socialblade.com/youtube/c/@onedirectionvevo,OneDirectionVEVO,171,23172454,8636687095,GB,Music,"Dec 4th, 2010",A-,,https://youtube.com/channel/UCbW18JZRgko_mOGm5er8Yzg,,https://instagram.com/onedirection,,https://plus.google.com/118319761183033913693,€12.2K - €194.4K,€145.8K - €2.3M
44,1553042843-5092,https://socialblade.com/youtube/top/5000/mostsubscribed,Você Sabia?,https://socialblade.com/youtube/c/vcsabiavideos,Você Sabia?,789,23099626,2632287523,BR,Entertainment,"Sep 1st, 2013",A,,https://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ,,https://twitter.com/lukasmarqs,,https://instagram.com/lukasmarques,€37.1K - €594.2K,€445.6K - €7.1M
45,1553042839-5091,https://socialblade.com/youtube/top/5000/mostsubscribed,rezendeevil,https://socialblade.com/youtube/user/rezendeevil,rezendeevil,7283,22756174,7836859636,BR,Entertainment,"Feb 12th, 2012",A,,https://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,,https://instagram.com/rezende,,https://plus.google.com/116537815483738396690,€27.8K - €444.6K,€333.5K - €5.3M
46,1553042835-5090,https://socialblade.com/youtube/top/5000/mostsubscribed,[????] ToyPudding TV,https://socialblade.com/youtube/user/toypudding,[????] ToyPudding TV,2513,22745819,13595988869,US,Entertainment,"May 13th, 2014",A,,https://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg,,,,https://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg,€54.1K - €865K,€648.7K - €10.4M
47,1553042828-5088,https://socialblade.com/youtube/top/5000/mostsubscribed,ChuChu TV Nursery Rhymes & Kids…,https://socialblade.com/youtube/c/chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,296,22624029,16876807897,IN,Education,"Feb 9th, 2013",A,,https://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg,,https://twitter.com/thechuchutv,,https://plus.google.com/107596194373289792134,€52.7K - €843K,€632.2K - €10.1M
48,1553042819-5086,https://socialblade.com/youtube/top/5000/mostsubscribed,GR6 EXPLODE,https://socialblade.com/youtube/user/gr6explode,GR6 EXPLODE,2775,22448166,10459994915,BR,Music,"Aug 5th, 2014",A+,,https://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,,https://instagram.com/gr6music,,https://plus.google.com/110137850448624415170,€100.3K - €1.6M,€1.2M - €19.3M
49,1553042824-5087,https://socialblade.com/youtube/top/5000/mostsubscribed,BillionSurpriseToys - Nursery…,https://socialblade.com/youtube/c/billionsurprisetoystm,BillionSurpriseToys - Nursery Rhymes & Songs,262,22438752,7634457490,MX,Education,"Oct 25th, 2013",A,,https://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q,,https://twitter.com/billionsurprise,,https://plus.google.com/110298526589718981708,€69.7K - €1.1M,€836.4K - €13.4M
50,1553042815-5085,https://socialblade.com/youtube/top/5000/mostsubscribed,Luisito Comunica,https://socialblade.com/youtube/user/luisitocomunicaa,Luisito Comunica,610,22368894,2627691916,MX,Comedy,"Apr 15th, 2012",A,,https://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,,https://www.instagram.com/luisitocomunica,,https://plus.google.com/103517526737368597453,€24.5K - €391.4K,€293.5K - €4.7M
51,1553042811-5084,https://socialblade.com/youtube/top/5000/mostsubscribed,Alan Walker,https://socialblade.com/youtube/c/alanwalkermusic,Alan Walker,173,22328931,5981936573,NO,Music,"Aug 25th, 2012",A,,https://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,,https://www.instagram.com/alanwalkermusic,,https://plus.google.com/103879088131003791157,€39K - €623.8K,€467.8K - €7.5M
52,1553042803-5082,https://socialblade.com/youtube/top/5000/mostsubscribed,ibighit,https://socialblade.com/youtube/user/ibighit,ibighit,298,22089490,4918936986,KR,Music,"Jun 4th, 2008",A,,https://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,,https://www.facebook.com/official.glam,,https://twitter.com/#!/bighitent,€56.7K - €907.4K,€680.6K - €10.9M
53,1553042799-5081,https://socialblade.com/youtube/top/5000/mostsubscribed,? Kids Diana Show,https://socialblade.com/youtube/c/kidsdianashow,? Kids Diana Show,545,21887636,6783279009,US,Entertainment,"May 12th, 2015",A+,,https://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw,,https://www.instagram.com/kidsdianashow/,,https://plus.google.com/117885666067182147017,€131.5K - €2.1M,€1.6M - €25.3M
54,1553042791-5079,https://socialblade.com/youtube/top/5000/mostsubscribed,Ninja,https://socialblade.com/youtube/c/ninja,Ninja,857,21759421,1775517995,US,Games,"Nov 11th, 2011",B+,,https://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,,https://twitter.com/ninja,,https://plus.google.com/106167023653313052318,€11.8K - €189.4K,€142K - €2.3M
55,1553042787-5078,https://socialblade.com/youtube/top/5000/mostsubscribed,jacksepticeye,https://socialblade.com/youtube/c/jacksepticeye,jacksepticeye,4060,21734897,10783296802,IE,Games,"Feb 24th, 2007",A,,https://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,,https://twitter.com/jack_septic_eye,,https://instagram.com/jacksepticeye,€24.9K - €398.5K,€298.9K - €4.8M
56,1553042783-5077,https://socialblade.com/youtube/top/5000/mostsubscribed,Speed Records,https://socialblade.com/youtube/user/speedrecordss,Speed Records,6690,21662675,10746125458,IN,Music,"Nov 22nd, 2012",A+,,https://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,,https://www.instagram.com/speed_records,,https://plus.google.com/110337865036085554162,€106.4K - €1.7M,€1.3M - €20.4M
57,1553042766-5073,https://socialblade.com/youtube/top/5000/mostsubscribed,shane,https://socialblade.com/youtube/user/shane,shane,1698,21245806,4860084042,US,Comedy,"Sep 22nd, 2005",A,,https://youtube.com/channel/UCV9_KinVpV-snHe3C3n1hvA,,https://twitter.com/#!/shanedawson,,https://instagram.com/shanedawson,€22.3K - €356.9K,€267.7K - €4.3M
58,1553042763-5072,https://socialblade.com/youtube/top/5000/mostsubscribed,NoCopyrightSounds,https://socialblade.com/youtube/c/-nocopyrightsounds,NoCopyrightSounds,602,21123917,5882394358,GB,Music,"Aug 14th, 2011",A,,https://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,,https://instagram.com/nocopyrightsounds,,https://plus.google.com/109051601181867332628,€35.2K - €563.6K,€422.7K - €6.8M
59,1553042758-5071,https://socialblade.com/youtube/top/5000/mostsubscribed,Selena Gomez,https://socialblade.com/youtube/c/selenagomez,Selena Gomez,170,20752656,472992261,US,Film,"Feb 8th, 2008",B,,https://youtube.com/channel/UCPNxhDvTcytIdvwXWAm43cA,,https://www.twitter.com/selenagomez,,https://plus.google.com/110236738431751064041,€1K - €16.1K,€12.1K - €193.5K
60,1553042754-5070,https://socialblade.com/youtube/top/5000/mostsubscribed,J Balvin,https://socialblade.com/youtube/user/jbalvintube,J Balvin,39,20371997,114188432,CO,Music,"Feb 18th, 2011",B-,,https://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,,https://www.instagram.com/jbalvin,,https://plus.google.com/112071687940361193001,€57 - €907,€680 - €10.9K
61,1553042746-5068,https://socialblade.com/youtube/top/5000/mostsubscribed,The Tonight Show Starring Jimmy…,https://socialblade.com/youtube/c/thetonightshowstarringjimmyfallon,The Tonight Show Starring Jimmy Fallon,5084,20323868,10883936623,US,Comedy,"Jan 8th, 2006",A,,https://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,,https://instagram.com/fallontonight,,https://plus.google.com/114595916253134538068,€36.6K - €586.1K,€439.6K - €7M
62,1553042742-5067,https://socialblade.com/youtube/top/5000/mostsubscribed,El Reino Infantil,https://socialblade.com/youtube/c/elreinoinfantil,El Reino Infantil,710,20272228,19539301311,AR,Music,"Jun 2nd, 2011",A+,,https://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA,,https://twitter.com/#!/reino_infantil,,https://plus.google.com/110061554842714544777,€127.7K - €2M,€1.5M - €24.5M
63,1553042734-5065,https://socialblade.com/youtube/top/5000/mostsubscribed,Like Nastya Vlog,https://socialblade.com/youtube/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya Vlog,231,20260198,7912134752,RU,People,"Dec 6th, 2016",A++,,https://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,,,,https://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,€244.4K - €3.9M,€2.9M - €46.9M
64,1553042730-5064,https://socialblade.com/youtube/top/5000/mostsubscribed,BLACKPINK,https://socialblade.com/youtube/c/blackpinkofficial,BLACKPINK,216,20177528,4916071565,KR,People,"Jun 29th, 2016",A,,https://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,,https://www.twitter.com/ygent_official,,https://www.instagram.com/blackpinkofficial,€62.6K - €1M,€751.1K - €12M
65,1553042722-5062,https://socialblade.com/youtube/top/5000/mostsubscribed,Daddy Yankee,https://socialblade.com/youtube/c/daddyyankee,Daddy Yankee,332,20111083,7077962964,PR,Music,"May 16th, 2011",A+,,https://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA,,https://instagram.com/daddyyankee,,https://plus.google.com/118202122837021129826,€91.8K - €1.5M,€1.1M - €17.6M
66,1553042726-5063,https://socialblade.com/youtube/top/5000/mostsubscribed,KSI,https://socialblade.com/youtube/c/ksi,KSI,1184,20108741,4730806918,GB,Entertainment,"Jul 25th, 2009",B+,,https://youtube.com/channel/UCVtFOytbRpEvzLjvqGG5gxQ,,https://instagram.com/ksi,,https://plus.google.com/100186771663891049108,€5.6K - €89.8K,€67.4K - €1.1M
67,1553042718-5061,https://socialblade.com/youtube/top/5000/mostsubscribed,WORLDSTARHIPHOP,https://socialblade.com/youtube/c/worldstarhiphop,WORLDSTARHIPHOP,5242,20094259,13972441230,US,Music,"Nov 8th, 2008",A,,https://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,,https://instagram.com/worldstar,,https://plus.google.com/104428744343796143969,€87.7K - €1.4M,€1.1M - €16.8M
